-32.7576, 542.679, -20.6596, -13.557, -2.30553, -3.83712, -0.578414, -3.02055, -0.410451, 0.102499, 0.321163, 0.0418174, 0.28486, 0.0967215, 0.0104825, 0.28486, 0.0967215, 0.0104825
-24.9085, 498.803, -14.0963, -13.4316, -2.52666, -3.44091, 1.80603, -3.03727, -0.387178, 2.14866, 0.938533, 0.212353, 0.0662216, 0.040047, 0.00531676, 0.0662216, 0.040047, 0.00531676
-17.3745, 455.432, -7.48552, -13.2289, -3.00345, -3.28012, 4.01289, -2.74906, -0.313687, 4.12491, 1.38433, 0.351473, -0.227445, -0.043871, -0.00289988, -0.227445, -0.043871, -0.00289988
-13.8175, 416.661, -1.8346, -12.5632, -3.25314, -2.9563, 5.31954, -2.09354, -0.246899, 5.92363, 1.86047, 0.490482, -0.4597, -0.107728, -0.0089863, -0.4597, -0.107728, -0.0089863
-12.7934, 387.395, 2.08475, -11.9494, -3.41922, -2.72912, 5.73122, -1.31871, -0.229268, 7.33373, 2.10109, 0.578391, -0.727167, -0.187522, -0.0170213, -0.727167, -0.187522, -0.0170213
-12.7252, 368.372, 2.86136, -11.9278, -3.73384, -2.9541, 5.53949, -0.637133, -0.240788, 7.66595, 1.99803, 0.57397, -0.895047, -0.242771, -0.0229116, -0.895047, -0.242771, -0.0229116
-11.0682, 353.936, 0.886541, -12.052, -3.85151, -3.20864, 4.63919, -0.186567, -0.258704, 7.09878, 2.04989, 0.565383, -0.71868, -0.185876, -0.0169116, -0.71868, -0.185876, -0.0169116
-5.32941, 339.632, -1.28657, -11.8815, -3.65534, -3.27483, 3.2352, -0.029977, -0.280667, 6.69815, 2.46958, 0.623245, -0.373749, -0.0681311, -0.00411586, -0.373749, -0.0681311, -0.00411586
3.50152, 325.814, -2.57553, -11.3131, -3.31757, -3.39826, 1.85299, -0.0855355, -0.300134, 6.47973, 2.63398, 0.645476, -0.234953, -0.0208435, 0.00101801, -0.234953, -0.0208435, 0.00101801
13.6508, 311.356, -3.38361, -10.2066, -2.94693, -3.74886, 0.542445, -0.322228, -0.311386, 6.08629, 2.43929, 0.603182, -0.263621, -0.0338782, -0.000578212, -0.263621, -0.0338782, -0.000578212
21.3285, 293.591, -4.23965, -8.42193, -2.61484, -4.36482, -0.920806, -0.684296, -0.315006, 5.69246, 2.93236, 0.675062, 0.108437, 0.0939468, 0.0133584, 0.108437, 0.0939468, 0.0133584
25.4546, 275.994, -5.26188, -6.10215, -2.2492, -5.01269, -2.74035, -0.979076, -0.313602, 5.53543, 4.42684, 0.920367, 1.00295, 0.40755, 0.0478954, 1.00295, 0.40755, 0.0478954
33.8274, 265.428, -5.32256, -4.11195, -2.05081, -5.6125, -4.84729, -1.01496, -0.309889, 5.99144, 5.63902, 1.13783, 1.57133, 0.612153, 0.0707158, 1.57133, 0.612153, 0.0707158
48.0732, 265.599, -4.69068, -3.07027, -2.34624, -6.37644, -7.09371, -0.677434, -0.302803, 6.72546, 5.6393, 1.16191, 1.36716, 0.547516, 0.0639711, 1.36716, 0.547516, 0.0639711
59.497, 278.008, -5.38666, -2.67284, -2.96598, -7.14683, -9.71705, -0.00475943, -0.291233, 6.88959, 4.83506, 1.03253, 0.863495, 0.371694, 0.0446486, 0.863495, 0.371694, 0.0446486
66.0637, 302.04, -7.3794, -3.21272, -3.84698, -7.7517, -12.5909, 0.898407, -0.262756, 6.9162, 3.97328, 0.887624, 0.377011, 0.200144, 0.0257022, 0.377011, 0.200144, 0.0257022
